CRN,CourseID,num_students
10998,ME2340,56.0
11303,ME2340,56.0
21733,ME2340,33.0
11303,ME2340,56.0
16259,ANTH2485,6.0
11277,ARCH3370,19.0
20275,ARCH5210,18.0
12717,ARTD2000,12.0
10270,ARTD2360,16.0
14559,ARTG2242,12.0
13875,ARTG2242,7.0
11484,ARTG2400,9.0
13879,ARTG3452,8.0
11630,BIOL1111,135.0
11649,BIOL2299,21.0
11646,BIOL2299,32.0
10422,CHEM1214,40.0
10422,CHEM1214,40.0
11975,CHEM2161,25.0
11975,CHEM2161,25.0
11973,CHEM3401,15.0
11973,CHEM3401,15.0
11239,CHEM4456,16.0
10034,CHNS2101,10.0
10248,CIVE2260,55.0
10244,CIVE2334,41.0
16622,CIVE2340,49.0
13606,CIVE3464,7.0
12210,CIVE4534,14.0
10195,COMM1101,196.0
16201,COMM1112,19.0
16201,COMM1112,19.0
11244,COMM2650,73.0
16214,COMM3320,19.0
17300,CRIM3110,40.0
18393,CS2100,59.0
18389,CS2100,43.0
12560,CY2550,49.0
19388,DS1300,19.0
15235,ECON1115,45.0
13929,ECON1116,184.0
12748,ECON2316,38.0
16057,ECON3405,39.0
14908,ECON3916,43.0
10828,ECON4692,18.0
11477,EECE2160,42.0
14387,EECE2310,45.0
14388,EECE2310,49.0
11344,EEMB2400,76.0
20533,ENGL2520,10.0
13646,ENGL2620,16.0
15724,ENVR3540,35.0
10644,GAME3700,6.0
14574,GAME3800,21.0
11680,GE1501,31.0
12834,HIST1130,20.0
17312,HIST2025,14.0
14416,HIST2351,25.0
11445,IE3412,27.0
11447,IE4516,30.0
11557,INTB1203,39.0
12020,INTB3310,40.0
13850,LARC2230,18.0
10834,LARC2230,15.0
14650,MATH1242,8.0
13123,MUSC1119,17.0
10336,MUSC1201,15.0
13126,MUSC1202,12.0
19475,MUSC2111,14.0
19477,MUSC2320,18.0
20290,NRSG2222,34.0
20291,NRSG2222,40.0
21179,NRSG2222,18.0
20290,NRSG2222,34.0
21179,NRSG2222,18.0
20287,NRSG2222,37.0
10489,NRSG3420,41.0
14937,PHIL1160,40.0
19390,PHIL1300,20.0
12016,PHIL2325,15.0
10696,PHYS2303,52.0
16604,PHYS5113,4.0
12194,POLS1150,30.0
12002,POLS2325,15.0
12664,POLS4701,15.0
10374,PSYC3406,75.0
11427,PSYC3458,147.0
15599,PSYC3540,40.0
12425,SOCL1101,61.0
21784,SOCL1101,38.0
16249,SOCL2485,10.0
17290,WMNS3110,5.0
10161,CHEM2311,99.0
13296,CHEM2311,100.0
14424,CHEM2311,18.0
10421,CHEM2311,90.0
14423,CHEM2311,73.0
10767,CHEM2311,100.0
14425,CHEM2311,100.0
10186,MATH2280,17.0
10185,MATH2280,9.0
10707,MATH3175,9.0
11326,MATH3175,19.0
11485,MATH3175,21.0
10081,PHYS1155,65.0
10082,PHYS1155,116.0
10229,PHYS1155,112.0
16601,PHYS1155,113.0
10081,PHYS1155,65.0
10082,PHYS1155,116.0
10229,PHYS1155,112.0
16601,PHYS1155,113.0
11200,ACCT4412,42.0
15369,ARCH2320,20.0
14550,ARTG1290,70.0
13026,CS3650,74.0
11247,EECE2520,29.0
13058,ENVR1110,40.0
13770,FINA4390,20.0
20349,FINA4412,40.0
12389,GAME3300,19.0
15064,HIST1252,19.0
20482,HSCI1105,45.0
12637,HSCI1105,47.0
12171,HUSV4700,4.0
13189,INTB1203,40.0
13050,INTB3320,18.0
19595,LAW3102,32.0
14731,MGMT4310,20.0
11573,MISM3515,37.0
13766,MKTG2301,42.0
13847,MKTG3720,44.0
10114,PHIL1165,40.0
12639,PHTH2350,24.0
14532,PHTH4515,13.0
14438,PHYS1211,6.0
16602,PHYS3111,14.0
10788,PSYC3466,75.0
11004,SCHM2301,42.0
20789,SCHM2301,40.0
16537,SCHM3301,35.0
10286,SCHM3310,20.0
11197,STRT4501,42.0
10340,ACCT3416,40.0
14644,AFCS2380,3.0
16238,ANTH3410,18.0
10825,ARTG4554,6.0
16278,BIOE5810,20.0
16281,BIOE5880,12.0
11651,BIOL2301,164.0
12033,BIOL2301,163.0
16564,BIOL5591,33.0
12791,CHEM1101,84.0
12791,CHEM1101,84.0
12828,CHEM1161,33.0
12828,CHEM1161,33.0
16211,COMM2510,19.0
13534,COMM3451,24.0
15058,CRIM2380,14.0
14886,EECE4604,14.0
13648,ENGL3377,9.0
14749,ENTR3401,23.0
13063,ENVR3200,27.0
14668,ENVR4050,21.0
17792,FINA2720,40.0
17800,FINA4604,41.0
11532,GAME2500,12.0
11863,HSCI1105,48.0
13831,INNO4504,11.0
20074,MGMT3305,28.0
12097,MISM3501,36.0
11000,MKTG3301,35.0
12335,MSCR4623,9.0
19474,MUSC2101,15.0
13128,MUSC2210,15.0
19492,MUST3601,12.0
10525,ORGB3209,47.0
12422,PHIL2325,15.0
17366,PHIL4515,13.0
12421,POLS2325,15.0
10287,SCHM3301,13.0
11336,STRT4501,9.0
12951,THTR2370,16.0
10343,ACCT3401,40.0
10499,ACCT4414,37.0
16024,ACCT4414,35.0
17235,AFCS2455,1.0
20751,ARTE2301,3.0
13793,ARTG1270,120.0
11295,ARTH1100,10.0
12883,ARTH2215,17.0
17474,ARTH2311,19.0
11781,BIOE4792,90.0
11781,BIOE4792,90.0
11781,BIOE4792,90.0
11781,BIOE4792,90.0
11781,BIOE4792,90.0
11781,BIOE4792,90.0
16555,BIOL5535,9.0
11305,COMM1113,17.0
16220,COMM4631,19.0
12996,CRIM1400,48.0
14988,ECON2315,38.0
14962,ECON2350,19.0
13004,EECE2140,40.0
21783,EECE2150,9.0
10625,EECE3410,21.0
16744,EEMB4001,34.0
16430,ENGL2301,25.0
16432,ENGL2455,24.0
10720,ENTR1201,19.0
13065,ENVR3600,30.0
13791,FINA3401,41.0
17797,FINA4350,32.0
21779,GAME1110,21.0
14788,INNO4506,15.0
10272,INTB1203,40.0
11607,INTB1203,40.0
10064,INTB1209,48.0
16460,INTL1160,19.0
17787,MGSC2301,34.0
10804,MGSC2301,35.0
20617,MGSC2301,35.0
19485,MUSI2330,6.0
16197,ORGB3201,35.0
11057,ORGB3201,34.0
13753,PHTH4120,12.0
12647,PHTH4202,25.0
13083,PHTH4540,22.0
16599,PHYS1132,7.0
21059,PSYC3458,73.0
14452,PSYC4505,32.0
12345,SCHM3315,40.0
17289,WMNS2455,3.0
11284,ACCT1201,42.0
10755,ACCT1201,40.0
10795,ACCT1201,28.0
11533,ACCT1201,40.0
11735,ACCT1201,40.0
11905,ACCT1201,37.0
10350,ACCT1201,41.0
10351,ACCT1201,41.0
10794,ACCT1201,40.0
16019,ACCT1201,38.0
10349,ACCT1201,42.0
21680,ACCT1201,34.0
10348,ACCT1201,41.0
12429,ACCT1201,38.0
10409,ACCT1201,42.0
13355,ACCT1201,42.0
15081,ACCT1201,37.0
10526,ACCT1201,41.0
12212,ACCT1201,40.0
13356,ACCT1201,39.0
11114,ACCT1201,40.0
11285,ACCT1201,42.0
12430,ACCT1201,40.0
13418,ACCT1201,41.0
16020,ACCT1201,41.0
10512,ACCT1209,48.0
12344,MATH2331,34.0
12192,MATH2331,12.0
12200,MATH2331,7.0
12716,MATH2331,21.0
12201,MATH2331,44.0
12199,MATH2331,26.0
12715,MATH2331,18.0
10829,MATH2341,85.0
13143,MATH2341,47.0
10356,MATH2341,74.0
11132,MATH2341,51.0
10026,MATH2341,56.0
10359,MATH2341,56.0
11307,MATH2341,57.0
13142,MATH2341,82.0
10071,MATH2341,60.0
11842,ME4508,46.0
11843,ME4508,28.0
11804,MKTG3401,41.0
19585,ANTH4515,18.0
10061,ARAB1101,14.0
13726,ARTG3100,11.0
11294,ARTG3460,17.0
10635,BUSN1101,20.0
10635,BUSN1101,20.0
11796,CHEM1161,146.0
11796,CHEM1161,146.0
11796,CHEM1161,146.0
12994,CHEM1161,15.0
11796,CHEM1161,146.0
12994,CHEM1161,15.0
12221,CHEM2317,36.0
12578,CHEM3331,29.0
12578,CHEM3331,29.0
13605,CHME4510,18.0
14753,CHNS2102,16.0
10245,CIVE2320,51.0
14905,CIVE3435,17.0
10243,CIVE3464,29.0
11105,CLTR1120,23.0
16202,COMM1113,19.0
11110,COMM1131,28.0
13527,COMM2200,19.0
10619,COMM2350,22.0
13113,COMM2551,19.0
15568,CRIM3070,30.0
18388,CS2100,62.0
18387,CS2100,60.0
12559,CY2550,52.0
10368,ECON1116,198.0
12665,ECON1711,43.0
12317,ECON2316,37.0
14738,ECON3423,42.0
14747,ECON4997,19.0
11136,EECE2150,40.0
11138,EECE2160,42.0
10500,EECE2412,41.0
11248,EECE2520,39.0
16781,EEMB3475,17.0
16751,EEMB6475,4.0
16431,ENGL2451,19.0
16778,ENVR5600,17.0
17304,HIST1170,45.0
17306,HIST1218,24.0
17310,HIST1575,39.0
19583,HIST3330,14.0
10148,HUSV2300,22.0
10730,IE2310,29.0
14677,IE2310,29.0
14678,IE2310,32.0
17497,INTB1203,39.0
10361,MATH1120,10.0
22011,MUSC1119,9.0
13688,MUSI3338,10.0
19656,NRSG5120,34.0
10237,PHYS1141,22.0
10187,PHYS1161,38.0
10992,PHYS3602,34.0
12338,POLS2325,15.0
11130,PSYC3452,74.0
17297,SOCL1102,23.0
10264,THTR1101,14.0
13493,THTR1180,18.0
17286,WMNS1101,22.0
11964,BIOE2350,45.0
12986,BIOE2350,27.0
10443,FINA4512,33.0
11287,FINA4512,34.0
17798,FINA4512,33.0
10363,MATH1213,23.0
11819,MATH1213,19.0
10364,MATH1213,23.0
21889,MATH1215,17.0
10558,MATH1215,35.0
10731,MATH1215,12.0
10025,MATH1215,19.0
10562,MATH1215,29.0
13359,MATH1215,44.0
10024,MATH1215,44.0
10354,MATH3081,48.0
12340,MATH3081,46.0
10355,MATH3081,54.0
11424,MATH3081,56.0
11963,MATH3081,55.0
11046,MATH3081,46.0
16023,ACCT3220,12.0
10344,ACCT3401,40.0
10708,ACCT3401,40.0
17232,AFCS2270,6.0
13485,ANTH1101,60.0
10268,ARCH1310,43.0
21089,ARCH2240,13.0
11472,ARCH2240,24.0
17854,ARCH5230,7.0
17471,ARTH2210,18.0
12686,BIOE3310,44.0
16272,BIOE5640,20.0
16277,BIOE5800,44.0
16277,BIOE5800,44.0
11938,BIOL3421,39.0
13541,BIOL3611,142.0
16560,BIOL5583,30.0
10261,CIVE2324,45.0
13111,COMM1113,19.0
13524,COMM1231,26.0
13525,COMM1231,22.0
10783,COMM1412,19.0
16209,COMM2135,12.0
11777,COMM2304,13.0
14595,COMM2555,8.0
11779,COMM3409,13.0
13536,COMM4631,18.0
11237,CS1800,272.0
18439,CS3800,51.0
10276,CS3800,85.0
16052,ECON1245,43.0
16054,ECON2315,38.0
15521,ECON2560,33.0
13816,ECON3635,42.0
12213,EEMB1101,16.0
14635,ENGL1410,12.0
13059,ENVR1200,60.0
16767,ENVR2200,40.0
11183,ENVR3300,54.0
10636,FINA2720,40.0
19739,GAME2555,6.0
13607,GE3300,39.0
15808,HLTH2500,4.0
12652,HONR3310,15.0
14530,HSCI2350,20.0
13745,INNO2414,30.0
13745,INNO2414,30.0
10021,INTB1203,40.0
10382,INTB1203,39.0
13754,INTL3470,12.0
10357,JRNL1101,15.0
15014,MATH1465,18.0
13640,MSCR2505,9.0
13685,MUSC1118,22.0
19483,MUSI1230,12.0
13137,MUST1220,11.0
10456,NRSG3320,49.0
11579,PHIL3435,23.0
14446,PHSC3802,13.0
14446,PHSC3802,13.0
14446,PHSC3802,13.0
11613,PHTH2350,25.0
11537,PHTH4120,25.0
12055,PHTH4202,19.0
13522,PHYS4305,12.0
10624,POLS1155,63.0
19707,POLS2330,38.0
14900,POLS2395,37.0
13508,POLS3423,29.0
13755,POLS3470,12.0
11661,PSYC3400,75.0
10373,PSYC3466,75.0
15600,PSYC4512,49.0
15601,PSYC4540,20.0
11003,SCHM2301,44.0
12385,SLPA1103,21.0
10075,SOCL1101,30.0
14711,SOCL2270,10.0
11013,STRT4501,18.0
16231,THTR1215,6.0
12682,ARTD2360,16.0
10786,ARTD4530,7.0
13878,ARTG3400,12.0
12378,ARTG4550,11.0
12104,DS3000,92.0
13571,DS3000,92.0
14720,DS3000,81.0
20498,EECE4792,23.0
12394,EECE4792,30.0
11255,EECE4792,33.0
13371,GAME2950,19.0
12754,HONR3310,19.0
17776,INNO3335,40.0
13191,INTB3205,42.0
13154,MATH2321,48.0
13155,MATH2321,50.0
10028,MATH2321,44.0
10415,MATH2321,38.0
12446,MATH2321,11.0
12185,MATH2321,41.0
12447,MATH2321,43.0
10733,MATH2321,10.0
12139,MATH2321,19.0
10215,MATH2321,48.0
10732,MATH2321,27.0
11762,MATH2321,27.0
11417,MATH2321,36.0
10763,MATH2321,16.0
10448,MATH2321,47.0
11094,MATH2321,17.0
10257,MISM2301,39.0
10505,STRT4501,42.0
10521,ACCT3304,29.0
17845,ARCH2355,20.0
13817,ARTG3350,10.0
14571,ARTG3464,10.0
16218,COMM4530,11.0
10284,CS1800,245.0
21563,CS4535,28.0
21563,CS4535,28.0
12315,ECON2315,38.0
12316,ECON2316,34.0
11673,ECON2560,23.0
17008,EECE3468,33.0
11811,IE4520,12.0
10250,INTB1203,39.0
10214,JRNL3550,17.0
15133,MISM2301,41.0
19496,MKTG3301,13.0
12030,MSCR2160,10.0
10486,NRSG3400,49.0
10700,NRSG4502,41.0
13812,NRSG4604,3.0
12721,PHTH2210,107.0
12721,PHTH2210,107.0
21095,PSYC3508,12.0
21061,PSYC4512,15.0
14573,GAME3400,26.0
13513,INNO2301,37.0
13516,INNO2301,40.0
13510,INNO2301,31.0
13511,INNO2301,40.0
13512,INNO2301,40.0
13519,INNO2301,38.0
13521,INNO2301,39.0
13518,INNO2301,40.0
13514,INNO2301,38.0
13517,INNO2301,40.0
13520,INNO2301,35.0
13515,INNO2301,40.0
14882,INNO2301,39.0
11960,MATH1365,16.0
11959,MATH1365,43.0
11958,MATH1365,48.0
10110,MATH1365,47.0
11956,MATH1365,39.0
10451,MATH1365,33.0
11957,MATH1365,24.0
13366,MATH1365,30.0
10105,ME4570,61.0
10338,ACCT4501,40.0
10339,ACCT4501,29.0
11352,ARTD2370,13.0
17475,ARTH3000,14.0
17477,ARTS2340,11.0
11629,BIOL1107,151.0
10417,BIOL1113,112.0
12243,COMM1112,19.0
12243,COMM1112,19.0
15520,ECON2316,34.0
13193,ECON2316,38.0
12404,ECON2560,25.0
11135,EECE2150,39.0
10738,GRMN1102,6.0
13316,LPSC1101,35.0
10497,MISM2301,42.0
12936,NRSG2350,29.0
20293,NRSG2350,29.0
12076,NRSG2350,26.0
13158,NRSG2350,34.0
10305,PHSC2301,70.0
12193,POLS1150,38.0
21094,PSYC3200,26.0
14458,PSYC4662,15.0
13337,PT1880,12.0
13544,SLPA4500,6.0
