room_name,capacity
271 Huntington-252,16
BOS-Behrakis Building-007,22
BOS-Behrakis Building-010,175
BOS-Behrakis Building-030,48
BOS-Behrakis Building-105,46
BOS-Behrakis Building-204,30
BOS-Behrakis Building-210,16
BOS-Behrakis Building-220,56
BOS-Behrakis Building-307,23
BOS-Behrakis Building-310,103
BOS-Behrakis Building-315,56
BOS-Behrakis Building-320,56
BOS-Behrakis Building-325,56
BOS-Behrakis Building-750,27
Cahners-001,20
Cahners-002,20
Cahners-003,20
Cahners-004,20
Cahners-005,20
Cahners-006,20
Cahners-007,20
Cahners-008,24
BOS-Cargill-094,48
BOS-Cargill-097,175
BOS-Churchill-101,166
BOS-Churchill-103,166
Cullinane-105,19
BOS-Dodge-050,82
BOS-Dodge-070,48
BOS-Dodge-111,18
BOS-Dodge-119,63
BOS-Dodge-130,48
BOS-Dodge-140,36
BOS-Dodge-150,48
BOS-Dodge-170,48
BOS-Dodge-173,52
BOS-Dodge-230,48
BOS-Dodge-270,48
BOS-Dodge-330,48
BOS-Dodge-370,48
BOS-Dodge-430,48
BOS-Dodge-470,48
BOS-Ell-311,28
BOS-Ell-408,21
BOS-Ell-410,36
BOS-Ell-411,23
BOS-East Village -002,59
BOS-East Village -008,20
BOS-East Village -010,20
BOS-East Village -024,82
BOS-East Village -102,30
BOS-EXP-201,63
BOS-EXP-202,56
BOS-EXP-203,56
BOS-EXP-204,65
BOS-EXP-310,45
BOS-EXP-311,45
BOS-Forsyth-128,24
BOS-Forsyth-129,38
BOS-Forsyth-130,40
BOS-Forsyth-150,21
BOS-Forsyth-151,48
BOS-Forsyth-201,48
BOS-Forsyth-202,48
BOS-Forsyth-235,39
BOS-Forsyth-236,36
BOS-Forsyth-237,39
BOS-Forsyth-238,20
BOS-Forsyth-241,28
BOS-Forsyth 242,27
BOS-Hayden-012,48
BOS-Hayden-221,55
BOS-Hayden-222,30
BOS-Hayden-321,32
BOS-Hayden-322,55
BOS-Hayden-424,36
BOS-Hayden-425,34
BOS-HASTINGS-101,20
BOS-HASTINGS-102,42
BOS-HASTINGS-103,28
BOS-HASTINGS-105,23
BOS-HASTINGS-106,24
BOS-HASTINGS-107,32
BOS-HASTINGS-108,35
BOS-HASTINGS-109,24
BOS-HASTINGS-111,24
BOS-HASTINGS-112,26
BOS-HASTINGS-113,27
BOS-HASTINGS-201,47
BOS-HASTINGS-202,28
BOS-HASTINGS-204,25
BOS-HASTINGS-205,24
BOS-HASTINGS-206,27
BOS-HASTINGS-207,29
BOS-HASTINGS-209,28
BOS-HASTINGS-210,43
BOS-HASTINGS-211,42
BOS-Hurtig-129,103
BOS-Hurtig-130,103
BOS-Hurtig-224,58
BOS-Hurtig-308,36
BOS-Hurtig-310,36
BOS-INV-013,26
BOS-INV-014,21
BOS-INV-016,20
BOS-INV-018,20
BOS-INV-019,97
BOS-INV-022,44
BOS-ISEC-102,275
BOS-ISEC-136,48
BOS-ISEC-138,48
BOS-ISEC-140,48
BOS-ISEC-142,48
BOS-Kariotis-005,28
BOS-Kariotis-011,51
BOS-Kariotis-102,30
BOS-Kariotis-104,24
BOS-Kariotis-110,40
BOS-Kariotis-202,30
BOS-Kariotis-204,20
BOS-Kariotis-208,18
BOS-Kariotis-209,27
BOS-Kariotis-302,30
BOS-Kariotis-304,18
BOS-Kariotis-308,7
BOS-Kariotis-309,52
BOS-Knowles-002A,30
BOS-Knowles-002B,45
BOS-Knowles-010,75
BOS-Mugar-201,187
BOS-Robinson-107,74
BOS-Robinson-109,74
BOS-Robinson-409,54
BOS-Robinson-411,51
BOS-Richards-140,27
BOS-Richards-155,27
BOS-Richards-160,27
BOS-Richards-165,36
BOS-Richards-225,35
BOS-Richards-226,35
BOS-Richards-227,48
BOS-Richards-228,36
BOS-Richards-229,36
BOS-Richards-231,48
BOS-Richards-233,35
BOS-Richards-235,27
BOS-Richards-236,149
BOS-Richards-237,28
BOS-Richards-238,42
BOS-Richards-239,27
BOS-Richards-241,27
BOS-Richards-243,28
BOS-Richards-253,54
BOS-Richards-254,54
BOS-Richards-275,38
BOS-Richards-300,107
BOS-Richards-325,36
BOS-Richards-325A,13
BOS-Richards-458,117
BOS-Ryder-124,24
BOS-Ryder-126,24
BOS-Ryder-128,24
BOS-Ryder-141,18
BOS-Ryder-143,18
BOS-Ryder-145,12
BOS-Ryder-147,18
BOS-Ryder-153,33
BOS-Ryder-154,27
BOS-Ryder-155,33
BOS-Ryder-156,27
BOS-Ryder-157,33
BOS-Ryder-158,27
BOS-Ryder-159,36
BOS-Ryder-161,36
BOS-Ryder-202,17
BOS-Ryder-203,24
BOS-Ryder-204,15
BOS-Ryder-205,18
BOS-Ryder-207,24
BOS-Ryder-209,24
BOS-Ryder-215,24
BOS-Ryder-217,42
BOS-Ryder-220,20
BOS-Ryder-233,33
BOS-Ryder-235,36
BOS-Ryder-243,21
BOS-Ryder-245,21
BOS-Ryder-247,36
BOS-Ryder-264,16
BOS-Ryder-265,27
BOS-Ryder-266,19
BOS-Ryder-267,20
BOS-Ryder-268,20
BOS-Ryder-269,20
BOS-Ryder-270,20
BOS-Ryder-271,20
BOS-Ryder-273,20
BOS-Ryder-275,20
BOS-Ryder-277,20
BOS-Ryder-283,20
BOS-Ryder-285,20
BOS-Ryder-291,20
BOS-Ryder-293,20
BOS-Ryder-296,33
BOS-Ryder-297,24
BOS-Ryder-299,14
BOS-Ryder-394,21
BOS-Ryder-429,42
BOS-Ryder-431,36
BOS-Ryder-433,36
BOS-Ryder-435,33
BOS-Ryder-452,26
BOS-Ryder-454,27
BOS-Ryder-456,30
BOS-Ryder-460,25
BOS-Stetson East-020,20
BOS-Shillman-105,114
BOS-Shillman-135,114
BOS-Shillman-210,46
BOS-Shillman-215,52
BOS-Shillman-220,76
BOS-Shillman-305,114
BOS-Shillman-315,52
BOS-Shillman-320,76
BOS-Shillman-325,52
BOS-Shillman-335,114
BOS-Shillman-415,52
BOS-Shillman-420,76
BOS-Shillman-425,52
BOS-Snell Library-001,24
BOS-Snell Library-002,28
BOS-Snell Library-003,24
BOS-Snell Library-005,44
BOS-Snell Library-007,32
BOS-Snell Library-009,22
BOS-Snell Library-011,24
BOS-Snell Library-012,36
BOS-Snell Library-013,37
BOS-Snell Library-015,38
BOS-Snell Library-017,35
BOS-Snell Library-031,54
BOS-Snell Library-033,54
BOS-Snell Library-035,54
BOS-Snell Library-037,48
BOS-Snell Library-039,45
BOS-Snell Library-043,24
BOS-Snell Library-045,12
BOS-Snell Library-047,14
BOS-Snell Library-049,16
BOS-Snell Library-111,42
BOS-Snell Library-115,36
BOS-Snell Library-117,49
BOS-Snell Library-119,40
BOS-Snell Library-121,48
BOS-Snell Library-123,40
BOS-Snell Library-125,33
BOS-Snell Engineering-108,184
BOS-Snell Engineering-168,184
BOS-Stearns-012,20
BOS-West Village-140C,28
BOS-West Village-020F,257
JDOAAI -Classroom - 114,18
JDOAAI - Classroom - 116,13
JDOAAI - Classroom - 118,22
BOS-West Village -102G,73
BOS-West Village -104G,73
BOS-West Village -106G,73
BOS-West Village -108G,73
BOS-West Village -108H,68
BOS-West Village -110H,68
